2013
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/transmentalbr.def
Work-related Mental Disorders
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;2;-;-;-;-;-;-;-;2
"110002 ARIQUEMES";-;-;-;-;-;-;-;-;-;-;1;-;1
"110004 CACOAL";3;-;-;5;-;2;2;4;2;4;3;4;29
"110012 JI-PARANA";-;-;-;3;1;3;8;3;2;1;3;-;24
"110018 PIMENTA BUENO";-;-;1;-;-;-;-;-;-;-;-;-;1
"110020 PORTO VELHO";1;-;1;-;-;-;4;2;2;-;-;-;10
"110025 PRESIDENTE MEDICI";-;-;-;-;-;-;-;1;-;-;-;-;1
"110028 ROLIM DE MOURA";-;-;-;1;-;-;2;3;-;-;-;-;6
"110030 VILHENA";-;4;1;2;-;1;-;2;2;-;-;-;12
"110034 ALVORADA D'OESTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"110045 BURITIS";-;-;-;-;1;-;-;-;-;-;-;-;1
"110080 CANDEIAS DO JAMARI";-;-;-;-;2;-;-;-;-;-;-;-;2
"110140 MONTE NEGRO";-;-;-;-;-;-;1;-;-;-;-;-;1
"110145 PARECIS";-;-;1;-;-;-;-;-;-;-;-;-;1
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;1;-;-;-;-;-;-;-;-;1
"120030 FEIJO";-;-;-;-;1;-;-;-;-;-;-;-;1
"120035 MARECHAL THAUMATURGO";-;-;-;-;-;-;1;-;1;-;-;-;2
"120040 RIO BRANCO";-;3;-;1;2;-;-;-;2;-;1;1;10
"120050 SENA MADUREIRA";-;-;-;-;-;-;-;-;1;1;-;-;2
"120070 XAPURI";-;-;1;-;-;-;-;1;-;-;-;-;2
"130170 HUMAITA";-;-;-;-;2;-;-;-;1;-;-;-;3
"130185 IRANDUBA";-;-;-;-;-;-;-;-;-;-;5;9;14
"130190 ITACOATIARA";-;2;1;1;-;1;5;-;1;1;1;1;14
"130250 MANACAPURU";-;-;-;-;-;-;-;-;1;1;-;-;2
"130260 MANAUS";5;6;5;6;10;12;8;7;4;7;6;6;82
"130420 TEFE";2;7;2;2;2;-;-;5;-;2;2;-;24
"130426 UARINI";-;-;-;-;-;1;-;-;-;-;-;-;1
"140010 BOA VISTA";-;1;2;7;5;1;1;2;4;7;9;12;51
"140015 BONFIM";-;-;1;-;-;-;-;-;-;-;-;-;1
"140017 CANTA";-;-;2;-;-;-;-;-;-;-;-;-;2
"140020 CARACARAI";-;-;-;-;-;-;-;1;-;-;-;-;1
"140030 MUCAJAI";-;-;-;-;1;-;-;-;-;-;-;-;1
"140047 RORAINOPOLIS";-;-;1;-;-;-;-;1;-;1;1;-;4
"150010 ABAETETUBA";-;-;-;-;-;-;-;-;-;-;-;1;1
"150060 ALTAMIRA";-;-;-;-;-;-;-;-;-;1;-;-;1
