2012
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/esquistobr.def
Schistosomiasis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;1;1;-;1;-;-;-;1;4
"110002 ARIQUEMES";1;1;-;-;-;1;-;-;1;-;-;2;6
"110004 CACOAL";2;1;1;1;-;-;1;2;-;-;1;1;10
"110005 CEREJEIRAS";1;-;2;-;1;-;-;-;-;-;-;-;4
"110006 COLORADO DO OESTE";-;-;-;-;-;1;-;1;1;-;-;-;3
"110007 CORUMBIARA";-;1;1;-;-;-;-;-;-;1;-;-;3
"110009 ESPIGAO D'OESTE";-;3;-;-;1;-;-;-;-;-;-;1;5
"110010 GUAJARA-MIRIM";-;-;-;-;-;1;-;-;-;-;-;-;1
"110011 JARU";5;7;4;6;7;7;2;1;9;1;7;6;62
"110012 JI-PARANA";1;1;3;1;8;3;5;1;1;4;-;1;29
"110013 MACHADINHO D'OESTE";-;-;1;-;-;-;-;-;-;-;-;-;1
"110014 NOVA BRASILANDIA D'OESTE";1;-;1;-;1;1;1;-;-;-;-;-;5
"110015 OURO PRETO DO OESTE";14;10;9;5;17;10;14;19;11;15;8;7;139
"110018 PIMENTA BUENO";-;2;1;2;-;2;-;1;-;1;2;-;11
"110020 PORTO VELHO";1;5;-;1;1;-;2;3;-;-;-;-;13
"110025 PRESIDENTE MEDICI";3;-;-;-;1;-;6;4;3;1;2;1;21
"110028 ROLIM DE MOURA";1;-;-;1;1;2;1;2;-;2;-;-;10
"110029 SANTA LUZIA D'OESTE";-;-;-;-;2;1;-;2;-;2;-;-;7
"110030 VILHENA";-;-;-;1;-;-;-;1;-;-;1;-;3
"110032 SAO MIGUEL DO GUAPORE";-;1;1;-;2;1;1;1;2;-;1;-;10
"110033 NOVA MAMORE";-;-;1;-;1;-;-;-;-;-;-;-;2
"110034 ALVORADA D'OESTE";1;-;-;-;-;-;-;-;-;1;-;1;3
"110037 ALTO ALEGRE DOS PARECIS";-;1;2;-;-;1;1;2;-;2;-;-;9
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;1;-;-;-;-;-;-;-;1
"110070 CAMPO NOVO DE RONDONIA";-;-;-;1;1;-;-;-;-;-;-;-;2
"110080 CANDEIAS DO JAMARI";1;-;-;-;1;-;-;-;-;-;-;-;2
"110090 CASTANHEIRAS";-;1;-;-;-;-;-;-;-;-;-;-;1
"110094 CUJUBIM";-;-;-;-;1;-;-;1;-;-;-;-;2
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;-;1;-;-;-;-;-;1
"110110 ITAPUA DO OESTE";-;-;-;1;-;-;-;-;-;-;-;-;1
"110120 MINISTRO ANDREAZZA";-;-;-;-;1;-;-;-;1;-;-;-;2
"110130 MIRANTE DA SERRA";2;-;1;1;1;2;-;-;-;-;1;-;8
"110140 MONTE NEGRO";-;-;-;-;-;-;-;1;-;-;-;-;1
"110143 NOVA UNIAO";-;1;1;-;2;-;-;-;-;-;-;1;5
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;-;1;-;-;2;1;-;4
"110150 SERINGUEIRAS";1;-;-;-;2;1;-;-;-;-;-;-;4
"110155 TEIXEIROPOLIS";-;-;1;-;1;-;-;-;-;-;-;-;2
"110160 THEOBROMA";-;1;-;1;-;-;-;1;1;1;-;-;5
"110170 URUPA";-;-;-;-;-;1;2;1;-;-;1;2;7
"110175 VALE DO ANARI";2;-;-;-;-;-;1;-;-;-;-;-;3
"110180 VALE DO PARAISO";2;-;2;1;1;-;-;1;-;-;1;1;9
"120035 MARECHAL THAUMATURGO";-;-;-;-;-;-;-;-;-;-;1;-;1
"120042 RODRIGUES ALVES";-;-;-;-;1;-;-;-;-;-;-;-;1
"130014 APUI";1;-;-;-;-;1;-;-;-;-;-;-;2
"130260 MANAUS";-;1;-;-;-;-;1;-;-;-;1;-;3
"130406 TABATINGA";-;-;-;-;-;-;-;1;-;-;-;-;1
"140010 BOA VISTA";-;-;-;-;-;-;-;-;-;-;1;-;1
"140047 RORAINOPOLIS";-;-;-;-;-;-;-;-;-;-;-;1;1
"140050 SAO JOAO DA BALIZA";-;-;-;-;1;-;-;-;-;-;-;-;1
"140060 SAO LUIZ";-;-;-;-;-;-;-;1;-;-;-;-;1
"150020 ACARA";-;1;-;-;-;-;-;-;-;-;-;-;1
"150030 AFUA";-;-;-;-;1;-;-;-;-;-;-;-;1
"150034 AGUA AZUL DO NORTE";-;-;-;-;1;-;-;-;-;-;-;-;1
"150060 ALTAMIRA";-;-;-;-;-;-;1;1;-;-;-;-;2
"150080 ANANINDEUA";-;-;-;1;-;1;1;2;1;-;1;-;7
"150090 AUGUSTO CORREA";-;-;-;-;-;-;-;-;-;1;-;-;1
"150110 BAGRE";-;-;-;-;1;-;-;-;-;-;-;-;1
"150130 BARCARENA";-;-;1;3;-;-;-;-;-;-;-;-;4
"150140 BELEM";3;9;2;4;5;3;7;2;8;1;2;7;53
"150170 BRAGANCA";-;-;1;1;-;-;-;3;-;-;-;2;7
"150172 BRASIL NOVO";-;1;-;-;-;-;-;-;-;-;-;-;1
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;-;-;-;-;-;-;-;-;1;1
"150178 BREU BRANCO";-;-;-;-;1;-;-;-;-;-;-;1;2
"150190 BUJARU";-;-;-;1;-;-;-;-;-;-;-;-;1
"150195 CACHOEIRA DO PIRIA";-;-;-;-;-;-;11;-;-;-;-;1;12
"150215 CANAA DOS CARAJAS";-;1;-;-;-;-;-;-;-;-;1;-;2
"150240 CASTANHAL";-;-;1;-;-;-;-;-;-;-;-;-;1
"150270 CONCEICAO DO ARAGUAIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150309 GOIANESIA DO PARA";-;1;-;-;1;-;-;-;-;-;-;-;2
"150330 IGARAPE-MIRI";-;-;-;-;-;-;1;-;-;-;-;-;1
"150360 ITAITUBA";-;-;-;-;-;-;-;-;1;-;-;-;1
"150380 JACUNDA";1;-;-;-;-;-;-;-;-;-;-;-;1
"150390 JURUTI";-;-;-;-;-;-;-;-;-;-;1;-;1
"150400 LIMOEIRO DO AJURU";-;-;-;-;-;-;1;-;-;-;-;-;1
"150405 MAE DO RIO";-;-;-;-;-;-;-;-;-;1;-;-;1
"150420 MARABA";-;1;1;-;1;1;1;4;-;-;-;1;10
"150440 MARAPANIM";-;-;-;-;-;1;-;-;-;-;-;-;1
"150470 MOJU";-;-;-;-;-;1;-;-;-;-;-;-;1
"150497 NOVA IPIXUNA";-;-;-;-;-;-;-;-;1;-;-;-;1
"150506 NOVO REPARTIMENTO";-;1;-;-;-;1;-;-;1;-;2;-;5
"150543 OURILANDIA DO NORTE";-;-;-;-;-;-;1;1;1;-;-;-;3
"150550 PARAGOMINAS";1;2;1;-;-;1;2;1;1;-;-;1;10
"150553 PARAUAPEBAS";-;-;1;-;-;-;-;-;1;-;-;-;2
"150560 PEIXE-BOI";-;-;-;1;-;-;-;-;-;-;-;-;1
"150590 PORTO DE MOZ";1;-;-;-;-;-;-;-;-;-;-;-;1
"150611 QUATIPURU";-;-;1;-;-;-;-;-;-;-;-;-;1
"150613 REDENCAO";-;-;1;-;-;-;1;-;1;-;-;-;3
"150616 RIO MARIA";1;-;-;-;-;-;-;-;-;-;-;-;1
"150618 RONDON DO PARA";-;-;-;-;-;-;-;-;-;-;1;-;1
"150620 SALINOPOLIS";1;-;-;-;-;-;-;-;-;-;-;-;1
"150640 SANTA CRUZ DO ARARI";-;-;-;-;-;1;-;-;-;-;-;-;1
"150650 SANTA IZABEL DO PARA";-;-;-;-;-;-;-;-;-;-;1;-;1
"150680 SANTAREM";-;-;-;-;-;-;-;-;-;1;-;-;1
"150730 SAO FELIX DO XINGU";-;-;-;-;-;-;-;-;-;-;1;-;1
"150770 SAO SEBASTIAO DA BOA VISTA";-;-;-;-;-;1;-;-;-;-;-;-;1
"150803 TRACUATEUA";-;-;-;-;-;-;-;1;-;-;-;-;1
"150808 TUCUMA";-;-;-;-;-;-;-;-;-;-;1;-;1
"150810 TUCURUI";1;-;-;-;-;-;-;-;-;-;-;-;1
"150812 ULIANOPOLIS";-;-;1;-;-;-;-;1;-;-;1;-;3
"150815 URUARA";-;-;1;-;-;-;-;-;-;-;-;-;1
"150820 VIGIA";-;-;-;-;-;-;-;2;-;-;-;-;2
