2017
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisbr.def
Congenital Syphilis
"Município de residência";"Casos confirmados"
"291005 DIAS D'AVILA";35
"291010 DOM BASILIO";1
"291030 ELISIO MEDRADO";2
"291040 ENCRUZILHADA";8
"291050 ENTRE RIOS";16
"291060 ESPLANADA";24
"291070 EUCLIDES DA CUNHA";11
"291072 EUNAPOLIS";73
"291075 FATIMA";3
"291080 FEIRA DE SANTANA";807
"291085 FILADELFIA";2
"291110 FORMOSA DO RIO PRETO";7
"291120 GANDU";6
"291130 GENTIO DO OURO";1
"291140 GLORIA";7
"291150 GONGOGI";1
"291160 GOVERNADOR MANGABEIRA";8
"291165 GUAJERU";1
"291170 GUANAMBI";10
"291180 GUARATINGA";3
"291190 IACU";7
"291210 IBICARAI";3
"291220 IBICOARA";10
"291230 IBICUI";7
"291240 IBIPEBA";7
"291250 IBIPITANGA";1
"291260 IBIQUERA";4
"291270 IBIRAPITANGA";5
"291280 IBIRAPUA";5
"291290 IBIRATAIA";8
"291300 IBITIARA";1
"291310 IBITITA";8
"291320 IBOTIRAMA";15
"291330 ICHU";1
"291340 IGAPORA";3
"291345 IGRAPIUNA";1
"291350 IGUAI";6
"291360 ILHEUS";275
"291370 INHAMBUPE";17
"291380 IPECAETA";4
"291390 IPIAU";25
"291400 IPIRA";3
"291420 IRAJUBA";1
"291430 IRAMAIA";2
"291440 IRAQUARA";3
"291450 IRARA";8
"291460 IRECE";56
"291465 ITABELA";13
"291470 ITABERABA";22
"291480 ITABUNA";54
"291490 ITACARE";26
"291500 ITAETE";4
"291510 ITAGI";9
"291520 ITAGIBA";7
"291530 ITAGIMIRIM";4
"291535 ITAGUACU DA BAHIA";3
"291540 ITAJU DO COLONIA";1
"291550 ITAJUIPE";6
"291560 ITAMARAJU";17
"291570 ITAMARI";5
"291580 ITAMBE";31
"291590 ITANAGRA";2
"291600 ITANHEM";7
"291610 ITAPARICA";13
"291620 ITAPE";3
"291630 ITAPEBI";6
"291640 ITAPETINGA";41
"291650 ITAPICURU";16
"291660 ITAPITANGA";4
"291670 ITAQUARA";1
"291680 ITARANTIM";5
"291685 ITATIM";6
"291690 ITIRUCU";4
"291700 ITIUBA";13
"291710 ITORORO";6
"291720 ITUACU";6
"291730 ITUBERA";3
"291733 IUIU";2
"291735 JABORANDI";1
"291750 JACOBINA";32
"291760 JAGUAQUARA";14
"291770 JAGUARARI";9
"291780 JAGUARIPE";4
"291790 JANDAIRA";17
"291800 JEQUIE";118
"291810 JEREMOABO";13
"291820 JIQUIRICA";4
"291830 JITAUNA";8
"291835 JOAO DOURADO";19
"291840 JUAZEIRO";270
"291845 JUCURUCU";3
"291850 JUSSARA";3
"291855 JUSSARI";1
"291870 LAFAIETE COUTINHO";1
"291875 LAGOA REAL";1
"291880 LAJE";4
"291890 LAJEDAO";2
"291905 LAJEDO DO TABOCAL";4
"291915 LAPAO";5
"291920 LAURO DE FREITAS";222
"291930 LENCOIS";5
"291940 LICINIO DE ALMEIDA";1
"291950 LIVRAMENTO DE NOSSA SENHORA";3
"291955 LUIS EDUARDO MAGALHAES";5
"291960 MACAJUBA";3
"291970 MACARANI";4
"291990 MACURURE";3
"291992 MADRE DE DEUS";7
"291995 MAETINGA";1
"292000 MAIQUINIQUE";3
"292010 MAIRI";8
"292020 MALHADA";2
"292040 MANOEL VITORINO";4
"292045 MANSIDAO";3
"292050 MARACAS";7
"292060 MARAGOGIPE";13
"292070 MARAU";6
"292080 MARCIONILIO SOUZA";1
"292090 MASCOTE";2
"292100 MATA DE SAO JOAO";23
"292105 MATINA";2
"292110 MEDEIROS NETO";16
"292120 MIGUEL CALMON";7
"292130 MILAGRES";3
"292140 MIRANGABA";3
"292145 MIRANTE";2
"292150 MONTE SANTO";2
"292160 MORPARA";2
"292170 MORRO DO CHAPEU";16
"292180 MORTUGABA";1
"292190 MUCUGE";1
"292200 MUCURI";22
"292205 MULUNGU DO MORRO";2
"292210 MUNDO NOVO";4
"292225 MUQUEM DE SAO FRANCISCO";4
"292230 MURITIBA";3
"292240 MUTUIPE";2
"292250 NAZARE";9
"292260 NILO PECANHA";2
"292265 NORDESTINA";7
"292270 NOVA CANAA";3
"292275 NOVA IBIA";1
"292280 NOVA ITARANA";2
"292290 NOVA SOURE";11
"292300 NOVA VICOSA";29
"292310 OLINDINA";1
"292320 OLIVEIRA DOS BREJINHOS";5
"292330 OURICANGAS";1
"292335 OUROLANDIA";8
"292340 PALMAS DE MONTE ALTO";1
"292360 PARAMIRIM";1
"292370 PARATINGA";1
"292380 PARIPIRANGA";5
"292390 PAU BRASIL";2
"292400 PAULO AFONSO";60
"292405 PE DE SERRA";2
"292410 PEDRAO";4
"292420 PEDRO ALEXANDRE";5
"292430 PIATA";4
"292440 PILAO ARCADO";4
"292460 PINDOBACU";11
"292467 PIRAI DO NORTE";2
"292470 PIRIPA";1
"292480 PIRITIBA";2
"292500 PLANALTO";23
"292510 POCOES";23
"292520 POJUCA";14
"292525 PONTO NOVO";6
"292530 PORTO SEGURO";135
"292540 POTIRAGUA";3
"292550 PRADO";19
"292560 PRESIDENTE DUTRA";3
"292570 PRESIDENTE JANIO QUADROS";1
"292575 PRESIDENTE TANCREDO NEVES";5
"292580 QUEIMADAS";3
"292590 QUIJINGUE";2
"292593 QUIXABEIRA";1
"292595 RAFAEL JAMBEIRO";3
"292600 REMANSO";15
"292610 RETIROLANDIA";4
"292620 RIACHAO DAS NEVES";10
"292630 RIACHAO DO JACUIPE";3
"292640 RIACHO DE SANTANA";5
"292660 RIBEIRA DO POMBAL";6
"292665 RIBEIRAO DO LARGO";5
"292690 RIO DO PIRES";2
"292700 RIO REAL";20
"292710 RODELAS";11
"292720 RUY BARBOSA";4
"292730 SALINAS DA MARGARIDA";6
"292740 SALVADOR";3158
"292750 SANTA BARBARA";11
"292760 SANTA BRIGIDA";2
"292770 SANTA CRUZ CABRALIA";43
"292780 SANTA CRUZ DA VITORIA";2
"292790 SANTA INES";2
"292800 SANTALUZ";10
"292805 SANTA LUZIA";3
"292810 SANTA MARIA DA VITORIA";8
"292820 SANTANA";5
"292830 SANTANOPOLIS";1
"292840 SANTA RITA DE CASSIA";17
"292850 SANTA TERESINHA";4
"292860 SANTO AMARO";30
"292870 SANTO ANTONIO DE JESUS";19
"292880 SANTO ESTEVAO";27
"292890 SAO DESIDERIO";1
"292900 SAO FELIX";3
"292905 SAO FELIX DO CORIBE";6
"292910 SAO FELIPE";5
"292920 SAO FRANCISCO DO CONDE";25
"292925 SAO GABRIEL";8
"292930 SAO GONCALO DOS CAMPOS";28
"292935 SAO JOSE DA VITORIA";6
"292937 SAO JOSE DO JACUIPE";4
"292940 SAO MIGUEL DAS MATAS";4
"292950 SAO SEBASTIAO DO PASSE";29
"292970 SATIRO DIAS";7
"292975 SAUBARA";6
"292980 SAUDE";5
"292990 SEABRA";3
"293000 SEBASTIAO LARANJEIRAS";2
"293010 SENHOR DO BONFIM";48
"293015 SERRA DO RAMALHO";5
"293020 SENTO SE";25
"293030 SERRA DOURADA";1
"293040 SERRA PRETA";4
"293050 SERRINHA";17
"293060 SERROLANDIA";4
"293070 SIMOES FILHO";157
"293075 SITIO DO MATO";1
"293077 SOBRADINHO";28
"293080 SOUTO SOARES";1
"293100 TANHACU";3
"293110 TANQUINHO";3
"293120 TAPEROA";7
"293130 TAPIRAMUTA";1
"293135 TEIXEIRA DE FREITAS";166
"293140 TEODORO SAMPAIO";2
"293150 TEOFILANDIA";10
"293160 TEOLANDIA";3
"293170 TERRA NOVA";5
"293180 TREMEDAL";3
"293190 TUCANO";5
"293200 UAUA";20
"293210 UBAIRA";3
"293220 UBAITABA";7
"293230 UBATA";7
"293240 UIBAI";9
"293245 UMBURANAS";3
"293250 UNA";7
"293270 URUCUCA";30
"293280 UTINGA";7
"293290 VALENCA";21
"293300 VALENTE";10
"293305 VARZEA DA ROCA";3
"293315 VARZEA NOVA";13
"293317 VARZEDO";2
"293320 VERA CRUZ";21
"293325 VEREDA";4
"293330 VITORIA DA CONQUISTA";75
"293340 WAGNER";1
"293345 WANDERLEY";3
"293350 WENCESLAU GUIMARAES";4
"293360 XIQUE-XIQUE";25
" MUNICIPIO IGNORADO - MG";1
"310010 ABADIA DOS DOURADOS";2
"310020 ABAETE";4
"310030 ABRE CAMPO";3
"310040 ACAIACA";1
"310050 ACUCENA";7
"310060 AGUA BOA";5
"310090 AGUAS FORMOSAS";4
"310100 AGUAS VERMELHAS";1
"310110 AIMORES";13
"310140 ALBERTINA";1
"310150 ALEM PARAIBA";48
"310160 ALFENAS";40
"310163 ALFREDO VASCONCELOS";3
"310170 ALMENARA";36
"310180 ALPERCATA";11
"310190 ALPINOPOLIS";11
"310200 ALTEROSA";4
"310205 ALTO CAPARAO";1
"310210 ALTO RIO DOCE";4
"310220 ALVARENGA";1
"310230 ALVINOPOLIS";4
"310250 AMPARO DO SERRA";1
"310260 ANDRADAS";4
"310270 CACHOEIRA DE PAJEU";2
"310280 ANDRELANDIA";1
"310285 ANGELANDIA";1
"310290 ANTONIO CARLOS";6
"310300 ANTONIO DIAS";7
"310340 ARACUAI";7
"310350 ARAGUARI";35
"310360 ARANTINA";1
"310370 ARAPONGA";5
"310375 ARAPORA";1
"310390 ARAUJOS";2
"310400 ARAXA";144
"310410 ARCEBURGO";1
"310420 ARCOS";6
"310430 AREADO";2
"310440 ARGIRITA";1
"310450 ARINOS";5
"310460 ASTOLFO DUTRA";7
"310470 ATALEIA";12
"310480 AUGUSTO DE LIMA";1
"310490 BAEPENDI";2
"310500 BALDIM";1
"310510 BAMBUI";8
"310520 BANDEIRA";3
"310540 BARAO DE COCAIS";18
"310550 BARAO DE MONTE ALTO";1
"310560 BARBACENA";70
"310590 BARROSO";5
"310600 BELA VISTA DE MINAS";3
"310610 BELMIRO BRAGA";1
"310620 BELO HORIZONTE";1715
"310630 BELO ORIENTE";37
"310640 BELO VALE";2
"310670 BETIM";442
"310680 BIAS FORTES";1
"310690 BICAS";21
"310710 BOA ESPERANCA";8
"310730 BOCAIUVA";42
"310740 BOM DESPACHO";19
"310750 BOM JARDIM DE MINAS";1
"310760 BOM JESUS DA PENHA";5
"310770 BOM JESUS DO AMPARO";2
"310780 BOM JESUS DO GALHO";8
"310790 BOM REPOUSO";1
"310800 BOM SUCESSO";4
"310810 BONFIM";2
"310820 BONFINOPOLIS DE MINAS";2
"310830 BORDA DA MATA";1
"310840 BOTELHOS";2
"310850 BOTUMIRIM";2
"310855 BRASILANDIA DE MINAS";2
"310860 BRASILIA DE MINAS";5
"310870 BRAS PIRES";1
"310880 BRAUNAS";2
"310890 BRAZOPOLIS";2
"310900 BRUMADINHO";20
"310910 BUENO BRANDAO";1
"310920 BUENOPOLIS";13
"310925 BUGRE";1
"310930 BURITIS";2
"310940 BURITIZEIRO";21
"310950 CABO VERDE";1
"310990 CAETANOPOLIS";8
"311000 CAETE";17
"311030 CALDAS";9
"311050 CAMANDUCAIA";11
"311060 CAMBUI";4
"311070 CAMBUQUIRA";3
"311080 CAMPANARIO";3
"311090 CAMPANHA";6
"311100 CAMPESTRE";2
"311110 CAMPINA VERDE";5
"311120 CAMPO BELO";19
"311130 CAMPO DO MEIO";4
"311140 CAMPO FLORIDO";5
"311150 CAMPOS ALTOS";5
"311160 CAMPOS GERAIS";1
"311180 CANAPOLIS";3
"311200 CANDEIAS";4
"311210 CAPARAO";2
"311220 CAPELA NOVA";1
"311230 CAPELINHA";23
"311260 CAPINOPOLIS";3
"311265 CAPITAO ANDRADE";7
"311270 CAPITAO ENEAS";26
"311280 CAPITOLIO";3
"311290 CAPUTIRA";4
"311300 CARAI";14
"311310 CARANAIBA";2
"311320 CARANDAI";5
"311330 CARANGOLA";8
"311340 CARATINGA";35
"311350 CARBONITA";1
"311360 CAREACU";1
"311370 CARLOS CHAGAS";14
"311400 CARMO DA MATA";2
"311410 CARMO DE MINAS";4
"311420 CARMO DO CAJURU";13
"311430 CARMO DO PARANAIBA";4
"311440 CARMO DO RIO CLARO";2
"311450 CARMOPOLIS DE MINAS";7
"311455 CARNEIRINHO";1
"311460 CARRANCAS";6
"311470 CARVALHOPOLIS";1
"311490 CASA GRANDE";1
"311510 CASSIA";6
"311520 CONCEICAO DA BARRA DE MINAS";3
"311530 CATAGUASES";7
"311535 CATAS ALTAS";2
"311540 CATAS ALTAS DA NORUEGA";2
"311545 CATUJI";16
"311547 CATUTI";1
"311550 CAXAMBU";3
"311570 CENTRAL DE MINAS";3
"311580 CENTRALINA";4
"311590 CHACARA";4
"311600 CHALE";2
"311630 CIPOTANEA";1
"311650 CLARO DOS POCOES";4
"311660 CLAUDIO";22
"311680 COLUNA";1
"311690 COMENDADOR GOMES";2
"311730 CONCEICAO DAS ALAGOAS";21
"311740 CONCEICAO DE IPANEMA";1
"311750 CONCEICAO DO MATO DENTRO";5
"311760 CONCEICAO DO PARA";2
"311770 CONCEICAO DO RIO VERDE";2
"311780 CONCEICAO DOS OUROS";2
"311783 CONEGO MARINHO";1
"311787 CONFINS";1
"311790 CONGONHAL";3
"311800 CONGONHAS";24
"311810 CONGONHAS DO NORTE";1
"311820 CONQUISTA";2
"311830 CONSELHEIRO LAFAIETE";64
"311840 CONSELHEIRO PENA";17
"311860 CONTAGEM";627
"311870 COQUEIRAL";2
"311880 CORACAO DE JESUS";4
"311890 CORDISBURGO";1
"311910 CORINTO";25
"311920 COROACI";4
"311930 COROMANDEL";5
"311940 CORONEL FABRICIANO";128
"311950 CORONEL MURTA";2
"311960 CORONEL PACHECO";1
"311970 CORONEL XAVIER CHAVES";1
"312000 CORREGO NOVO";2
"312010 COUTO DE MAGALHAES DE MINAS";1
"312015 CRISOLITA";4
"312020 CRISTAIS";5
"312030 CRISTALIA";1
"312040 CRISTIANO OTONI";1
"312050 CRISTINA";2
"312060 CRUCILANDIA";6
"312080 CRUZILIA";2
"312083 CUPARAQUE";8
"312087 CURRAL DE DENTRO";4
"312090 CURVELO";72
"312110 DELFIM MOREIRA";1
"312120 DELFINOPOLIS";4
"312125 DELTA";13
"312160 DIAMANTINA";4
"312170 DIOGO DE VASCONCELOS";1
"312180 DIONISIO";1
"312190 DIVINESIA";2
"312200 DIVINO";2
"312220 DIVINOLANDIA DE MINAS";4
"312230 DIVINOPOLIS";93
"312235 DIVISA ALEGRE";5
"312240 DIVISA NOVA";3
"312245 DIVISOPOLIS";1
"312250 DOM CAVATI";4
"312260 DOM JOAQUIM";2
"312290 DONA EUSEBIA";1
"312320 DORES DO INDAIA";1
"312350 DOURADOQUARA";2
"312352 DURANDE";1
"312360 ELOI MENDES";1
"312370 ENGENHEIRO CALDAS";10
"312380 ENGENHEIRO NAVARRO";9
"312385 ENTRE FOLHAS";1
"312390 ENTRE RIOS DE MINAS";1
"312400 ERVALIA";11
"312410 ESMERALDAS";99
"312420 ESPERA FELIZ";6
"312430 ESPINOSA";19
"312450 ESTIVA";3
"312460 ESTRELA DALVA";4
"312480 ESTRELA DO SUL";1
"312490 EUGENOPOLIS";1
"312500 EWBANK DA CAMARA";6
"312510 EXTREMA";9
"312560 FELISBURGO";5
"312570 FELIXLANDIA";15
"312580 FERNANDES TOURINHO";2
"312590 FERROS";2
"312595 FERVEDOURO";3
"312600 FLORESTAL";3
"312610 FORMIGA";45
"312620 FORMOSO";1
"312630 FORTALEZA DE MINAS";1
"312640 FORTUNA DE MINAS";1
"312660 FRANCISCO DUMONT";3
"312670 FRANCISCO SA";4
"312675 FRANCISCOPOLIS";4
"312680 FREI GASPAR";3
"312690 FREI INOCENCIO";20
"312700 FRONTEIRA";5
"312705 FRONTEIRA DOS VALES";1
"312707 FRUTA DE LEITE";1
"312710 FRUTAL";25
"312730 GALILEIA";13
"312735 GLAUCILANDIA";2
"312737 GOIABEIRA";9
"312738 GOIANA";2
"312750 GONZAGA";2
"312760 GOUVEIA";3
"312770 GOVERNADOR VALADARES";623
"312800 GUANHAES";14
"312810 GUAPE";5
"312820 GUARACIABA";1
"312825 GUARACIAMA";5
"312830 GUARANESIA";3
"312840 GUARANI";6
"312850 GUARARA";1
"312860 GUARDA-MOR";1
"312870 GUAXUPE";11
"312880 GUIDOVAL";5
"312890 GUIMARANIA";2
"312900 GUIRICEMA";1
"312910 GURINHATA";3
"312920 HELIODORA";3
"312930 IAPU";11
"312950 IBIA";13
"312960 IBIAI";3
"312980 IBIRITE";210
"312990 IBITIURA DE MINAS";1
"313010 IGARAPE";36
"313030 IGUATAMA";3
"313040 IJACI";2
"313065 INDAIABIRA";1
"313080 INGAI";1
"313090 INHAPIM";8
"313100 INHAUMA";2
"313110 INIMUTABA";5
"313115 IPABA";44
"313120 IPANEMA";8
"313130 IPATINGA";385
"313150 IPUIUNA";4
"313160 IRAI DE MINAS";3
"313170 ITABIRA";81
"313180 ITABIRINHA";5
"313190 ITABIRITO";22
"313200 ITACAMBIRA";3
"313210 ITACARAMBI";5
"313220 ITAGUARA";1
"313230 ITAIPE";11
"313240 ITAJUBA";21
"313250 ITAMARANDIBA";7
"313270 ITAMBACURI";10
"313300 ITAMONTE";6
"313310 ITANHANDU";2
"313320 ITANHOMI";9
"313330 ITAOBIM";3
"313350 ITAPECERICA";8
"313360 ITAPEVA";1
"313370 ITATIAIUCU";4
"313375 ITAU DE MINAS";14
"313380 ITAUNA";18
"313400 ITINGA";3
"313410 ITUETA";3
"313420 ITUIUTABA";7
"313440 ITURAMA";10
"313450 ITUTINGA";2
"313460 JABOTICATUBAS";23
"313470 JACINTO";4
"313480 JACUI";1
"313490 JACUTINGA";6
"313505 JAIBA";26
"313507 JAMPRUCA";6
"313510 JANAUBA";39
"313520 JANUARIA";26
"313530 JAPARAIBA";1
"313540 JECEABA";1
"313550 JEQUERI";1
"313560 JEQUITAI";2
"313570 JEQUITIBA";2
"313580 JEQUITINHONHA";8
"313590 JESUANIA";3
"313600 JOAIMA";9
"313610 JOANESIA";2
"313620 JOAO MONLEVADE";23
"313630 JOAO PINHEIRO";14
"313640 JOAQUIM FELICIO";2
"313650 JORDANIA";9
"313655 JOSE RAYDAN";1
"313660 NOVA UNIAO";1
"313665 JUATUBA";30
"313670 JUIZ DE FORA";653
"313680 JURAMENTO";4
"313690 JURUAIA";4
"313695 JUVENILIA";1
"313700 LADAINHA";11
"313710 LAGAMAR";1
"313720 LAGOA DA PRATA";18
"313730 LAGOA DOS PATOS";2
"313740 LAGOA DOURADA";3
"313750 LAGOA FORMOSA";6
"313753 LAGOA GRANDE";3
"313760 LAGOA SANTA";97
"313770 LAJINHA";9
"313780 LAMBARI";1
"313790 LAMIM";1
"313810 LASSANCE";1
"313820 LAVRAS";70
"313830 LEANDRO FERREIRA";1
"313840 LEOPOLDINA";23
"313850 LIBERDADE";1
"313860 LIMA DUARTE";9
"313865 LONTRA";2
"313867 LUISBURGO";3
"313870 LUMINARIAS";1
"313890 MACHACALIS";8
"313900 MACHADO";9
"313910 MADRE DE DEUS DE MINAS";3
"313920 MALACACHETA";7
"313925 MAMONAS";1
"313930 MANGA";19
"313940 MANHUACU";47
"313950 MANHUMIRIM";24
"313960 MANTENA";17
"313970 MARAVILHAS";3
"313980 MAR DE ESPANHA";14
"313990 MARIA DA FE";3
"314000 MARIANA";47
"314010 MARILAC";4
"314015 MARIO CAMPOS";19
"314030 MARLIERIA";4
"314040 MARMELOPOLIS";1
"314050 MARTINHO CAMPOS";5
"314053 MARTINS SOARES";12
"314055 MATA VERDE";3
"314060 MATERLANDIA";1
"314070 MATEUS LEME";33
"314080 MATIAS BARBOSA";11
"314085 MATIAS CARDOSO";4
"314090 MATIPO";18
"314110 MATOZINHOS";31
"314130 MEDEIROS";1
"314140 MEDINA";5
"314160 MERCES";5
"314170 MESQUITA";1
"314180 MINAS NOVAS";2
"314200 MIRABELA";6
"314210 MIRADOURO";4
"314220 MIRAI";8
"314230 MOEDA";2
"314240 MOEMA";4
"314270 MONTALVANIA";6
"314280 MONTE ALEGRE DE MINAS";2
"314290 MONTE AZUL";10
"314300 MONTE BELO";5
"314310 MONTE CARMELO";19
"314320 MONTE SANTO DE MINAS";4
"314330 MONTES CLAROS";465
"314340 MONTE SIAO";3
"314345 MONTEZUMA";1
"314350 MORADA NOVA DE MINAS";2
"314370 MORRO DO PILAR";2
"314380 MUNHOZ";1
"314390 MURIAE";33
"314400 MUTUM";3
"314410 MUZAMBINHO";3
"314430 NANUQUE";45
"314435 NAQUE";22
"314460 NEPOMUCENO";19
"314467 NOVA BELEM";1
"314470 NOVA ERA";3
"314480 NOVA LIMA";38
"314490 NOVA MODICA";3
"314500 NOVA PONTE";12
"314505 NOVA PORTEIRINHA";3
"314510 NOVA RESENDE";3
"314520 NOVA SERRANA";42
"314530 NOVO CRUZEIRO";25
"314535 NOVO ORIENTE DE MINAS";14
"314537 NOVORIZONTE";1
"314545 OLHOS-D'AGUA";1
"314560 OLIVEIRA";18
"314580 ONCA DE PITANGUI";2
"314590 OURO BRANCO";22
"314610 OURO PRETO";26
"314620 OURO VERDE DE MINAS";1
"314630 PADRE PARAISO";11
"314650 PAINS";3
"314655 PAI PEDRO";1
"314670 PALMA";1
"314675 PALMOPOLIS";3
"314690 PAPAGAIOS";10
"314700 PARACATU";81
"314710 PARA DE MINAS";26
"314720 PARAGUACU";3
"314730 PARAISOPOLIS";4
"314740 PARAOPEBA";16
"314760 PASSA QUATRO";1
"314770 PASSA TEMPO";5
"314780 PASSA-VINTE";1
"314790 PASSOS";123
"314795 PATIS";1
"314800 PATOS DE MINAS";59
"314810 PATROCINIO";8
"314820 PATROCINIO DO MURIAE";3
"314830 PAULA CANDIDO";1
"314840 PAULISTAS";1
"314850 PAVAO";4
"314860 PECANHA";7
"314870 PEDRA AZUL";4
"314910 PEDRALVA";1
"314915 PEDRAS DE MARIA DA CRUZ";5
"314920 PEDRINOPOLIS";1
"314930 PEDRO LEOPOLDO";19
"314940 PEDRO TEIXEIRA";1
"314960 PEQUI";1
"314970 PERDIGAO";3
"314980 PERDIZES";12
"314990 PERDOES";7
"314995 PERIQUITO";9
"315010 PIAU";7
"315015 PIEDADE DE CARATINGA";3
"315020 PIEDADE DE PONTE NOVA";2
"315030 PIEDADE DO RIO GRANDE";1
"315040 PIEDADE DOS GERAIS";1
"315050 PIMENTA";6
"315053 PINGO-D'AGUA";11
"315070 PIRAJUBA";1
"315080 PIRANGA";6
"315100 PIRANGUINHO";2
"315110 PIRAPETINGA";2
"315120 PIRAPORA";38
"315130 PIRAUBA";7
"315140 PITANGUI";11
"315150 PIUMHI";5
"315160 PLANURA";6
"315170 POCO FUNDO";1
"315180 POCOS DE CALDAS";31
"315190 POCRANE";2
"315200 POMPEU";24
"315210 PONTE NOVA";21
"315213 PONTO CHIQUE";1
"315220 PORTEIRINHA";9
"315230 PORTO FIRME";1
"315240 POTE";33
"315250 POUSO ALEGRE";73
"315260 POUSO ALTO";2
"315270 PRADOS";3
"315280 PRATA";10
"315290 PRATAPOLIS";3
"315340 PRESIDENTE OLEGARIO";4
"315350 ALTO JEQUITIBA";1
"315360 PRUDENTE DE MORAIS";2
"315370 QUARTEL GERAL";1
"315390 RAPOSOS";11
"315400 RAUL SOARES";2
"315415 REDUTO";11
"315420 RESENDE COSTA";2
"315430 RESPLENDOR";18
"315440 RESSAQUINHA";1
"315445 RIACHINHO";4
"315450 RIACHO DOS MACHADOS";1
"315460 RIBEIRAO DAS NEVES";618
"315480 RIO ACIMA";3
"315490 RIO CASCA";3
"315510 RIO DO PRADO";1
"315520 RIO ESPERA";2
"315530 RIO MANSO";5
"315540 RIO NOVO";6
"315550 RIO PARANAIBA";12
"315560 RIO PARDO DE MINAS";3
"315570 RIO PIRACICABA";6
"315580 RIO POMBA";14
"315610 RITAPOLIS";1
"315620 ROCHEDO DE MINAS";2
"315630 RODEIRO";13
"315640 ROMARIA";1
"315650 RUBELITA";1
"315660 RUBIM";4
"315670 SABARA";147
"315680 SABINOPOLIS";4
"315690 SACRAMENTO";26
"315700 SALINAS";9
"315710 SALTO DA DIVISA";2
"315720 SANTA BARBARA";14
"315725 SANTA BARBARA DO LESTE";1
"315730 SANTA BARBARA DO TUGURIO";5
"315733 SANTA CRUZ DE MINAS";14
"315737 SANTA CRUZ DE SALINAS";1
"315750 SANTA EFIGENIA DE MINAS";2
"315760 SANTA FE DE MINAS";1
"315770 SANTA JULIANA";16
"315780 SANTA LUZIA";404
"315790 SANTA MARGARIDA";10
"315800 SANTA MARIA DE ITABIRA";2
"315810 SANTA MARIA DO SALTO";1
"315820 SANTA MARIA DO SUACUI";4
"315830 SANTANA DA VARGEM";4
"315840 SANTANA DE CATAGUASES";1
"315860 SANTANA DO DESERTO";1
"315870 SANTANA DO GARAMBEU";2
"315880 SANTANA DO JACARE";1
"315890 SANTANA DO MANHUACU";10
"315895 SANTANA DO PARAISO";93
"315900 SANTANA DO RIACHO";3
"315910 SANTANA DOS MONTES";1
"315920 SANTA RITA DE CALDAS";2
"315930 SANTA RITA DE JACUTINGA";2
"315950 SANTA RITA DO ITUETO";5
"315960 SANTA RITA DO SAPUCAI";6
"315980 SANTA VITORIA";7
"315990 SANTO ANTONIO DO AMPARO";11
"316010 SANTO ANTONIO DO GRAMA";2
"316030 SANTO ANTONIO DO JACINTO";6
"316040 SANTO ANTONIO DO MONTE";8
"316060 SANTO HIPOLITO";1
"316070 SANTOS DUMONT";17
"316080 SAO BENTO ABADE";2
"316100 SAO DOMINGOS DO PRATA";4
"316110 SAO FRANCISCO";43
"316120 SAO FRANCISCO DE PAULA";1
"316130 SAO FRANCISCO DE SALES";1
"316150 SAO GERALDO";5
"316165 SAO GERALDO DO BAIXIO";4
"316170 SAO GONCALO DO ABAETE";2
"316180 SAO GONCALO DO PARA";3
"316190 SAO GONCALO DO RIO ABAIXO";4
"316200 SAO GONCALO DO SAPUCAI";6
"316210 SAO GOTARDO";48
"316220 SAO JOAO BATISTA DO GLORIA";7
"316230 SAO JOAO DA MATA";1
"316240 SAO JOAO DA PONTE";1
"316245 SAO JOAO DAS MISSOES";1
"316250 SAO JOAO DEL REI";87
"316255 SAO JOAO DO MANHUACU";17
"316257 SAO JOAO DO MANTENINHA";6
"316260 SAO JOAO DO ORIENTE";12
"316265 SAO JOAO DO PACUI";2
"316280 SAO JOAO EVANGELISTA";1
"316290 SAO JOAO NEPOMUCENO";11
"316292 SAO JOAQUIM DE BICAS";28
"316294 SAO JOSE DA BARRA";5
"316295 SAO JOSE DA LAPA";26
"316300 SAO JOSE DA SAFIRA";3
"316310 SAO JOSE DA VARGINHA";2
"316330 SAO JOSE DO DIVINO";2
"316340 SAO JOSE DO GOIABAL";1
"316350 SAO JOSE DO JACURI";1
"316360 SAO JOSE DO MANTIMENTO";1
"316370 SAO LOURENCO";30
"316400 SAO PEDRO DOS FERROS";4
"316410 SAO PEDRO DO SUACUI";1
"316420 SAO ROMAO";4
"316440 SAO SEBASTIAO DA BELA VISTA";3
"316447 SAO SEBASTIAO DO ANTA";2
"316450 SAO SEBASTIAO DO MARANHAO";1
"316460 SAO SEBASTIAO DO OESTE";4
"316470 SAO SEBASTIAO DO PARAISO";16
"316500 SAO TIAGO";1
"316510 SAO TOMAS DE AQUINO";1
"316520 SAO THOME DAS LETRAS";2
"316530 SAO VICENTE DE MINAS";2
"316540 SAPUCAI-MIRIM";2
"316553 SARZEDO";26
"316555 SETUBINHA";6
"316556 SEM-PEIXE";1
"316557 SENADOR AMARAL";2
"316570 SENADOR FIRMINO";4
"316590 SENADOR MODESTINO GONCALVES";1
"316620 SENHORA DOS REMEDIOS";4
"316640 SERITINGA";1
"316670 SERRA DOS AIMORES";7
"316680 SERRA DO SALITRE";9
"316690 SERRANIA";6
"316710 SERRO";3
"316720 SETE LAGOAS";100
"316750 SIMAO PEREIRA";4
