2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de residência";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Total"
"110001 ALTA FLORESTA D'OESTE";2;16;20;28;21;9;-;96
"110002 ARIQUEMES";7;12;7;1;2;-;-;29
"110003 CABIXI";-;-;2;-;1;-;-;3
"110004 CACOAL";3;4;5;8;10;7;-;37
"110007 CORUMBIARA";-;-;1;-;1;3;1;6
"110008 COSTA MARQUES";-;-;2;-;-;-;5;7
"110009 ESPIGAO D'OESTE";-;1;-;1;10;8;-;20
"110011 JARU";1;3;10;5;10;9;6;44
"110012 JI-PARANA";1;1;1;1;2;-;-;6
"110013 MACHADINHO D'OESTE";-;1;4;19;38;16;-;78
"110014 NOVA BRASILANDIA D'OESTE";-;-;1;1;4;1;-;7
"110015 OURO PRETO DO OESTE";-;1;2;2;4;2;-;11
"110018 PIMENTA BUENO";4;4;1;3;6;-;-;18
"110020 PORTO VELHO";34;26;35;37;23;8;-;163
"110025 PRESIDENTE MEDICI";14;19;48;25;50;43;10;209
"110026 RIO CRESPO";3;8;1;-;-;-;-;12
"110028 ROLIM DE MOURA";4;2;1;3;2;11;-;23
"110029 SANTA LUZIA D'OESTE";1;1;-;1;-;1;1;5
"110030 VILHENA";6;4;15;16;14;8;1;64
"110033 NOVA MAMORE";1;-;3;4;9;9;1;27
"110034 ALVORADA D'OESTE";1;2;-;-;2;4;-;9
"110037 ALTO ALEGRE DOS PARECIS";-;1;-;-;-;-;-;1
"110040 ALTO PARAISO";1;2;-;-;-;-;-;3
"110045 BURITIS";5;2;6;7;15;10;-;45
"110060 CACAULANDIA";-;-;4;4;3;3;1;15
"110070 CAMPO NOVO DE RONDONIA";-;-;-;4;3;9;3;19
"110080 CANDEIAS DO JAMARI";3;3;2;6;-;-;-;14
"110092 CHUPINGUAIA";1;-;-;1;-;-;-;2
"110094 CUJUBIM";1;1;1;-;22;22;29;76
"110120 MINISTRO ANDREAZZA";-;-;-;1;-;-;1;2
"110140 MONTE NEGRO";2;-;-;-;-;4;4;10
"110145 PARECIS";1;1;7;3;2;-;-;14
"110147 PRIMAVERA DE RONDONIA";2;1;1;1;1;-;-;6
"110148 SAO FELIPE D'OESTE";-;-;1;1;1;-;-;3
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;1;3;1;1;6
"110150 SERINGUEIRAS";-;-;2;1;3;2;2;10
"110155 TEIXEIROPOLIS";-;-;-;-;2;2;-;4
"110160 THEOBROMA";2;-;-;1;1;2;1;7
"110170 URUPA";-;-;-;-;1;-;-;1
"110175 VALE DO ANARI";-;-;-;-;3;1;2;6
"120001 ACRELANDIA";4;8;5;2;1;-;-;20
"120005 ASSIS BRASIL";75;70;53;13;3;-;-;214
"120010 BRASILEIA";327;240;187;124;14;5;-;897
"120013 BUJARI";14;2;3;2;2;-;-;23
"120017 CAPIXABA";15;3;-;1;2;2;-;23
"120020 CRUZEIRO DO SUL";97;193;43;15;68;8;-;424
"120025 EPITACIOLANDIA";172;120;86;54;11;8;-;451
"120030 FEIJO";48;32;33;26;18;17;1;175
"120032 JORDAO";-;1;-;-;-;-;-;1
"120033 MANCIO LIMA";24;37;7;3;2;-;-;73
"120034 MANOEL URBANO";1;-;-;-;-;-;-;1
"120035 MARECHAL THAUMATURGO";-;-;10;8;26;6;1;51
"120038 PLACIDO DE CASTRO";108;62;13;4;4;1;-;192
"120039 PORTO WALTER";-;2;-;-;-;-;-;2
"120040 RIO BRANCO";423;481;762;647;348;71;1;2733
"120042 RODRIGUES ALVES";14;32;15;14;3;1;-;79
"120045 SENADOR GUIOMARD";98;45;24;26;14;12;-;219
"120050 SENA MADUREIRA";18;2;1;1;-;-;-;22
"120060 TARAUACA";35;38;30;20;18;13;-;154
"120070 XAPURI";14;7;6;2;7;2;-;38
"120080 PORTO ACRE";7;8;6;6;3;-;-;30
"130002 ALVARAES";15;14;21;19;6;7;4;86
"130010 ANORI";-;1;-;-;-;-;-;1
"130020 ATALAIA DO NORTE";-;3;3;5;19;46;20;96
"130030 AUTAZES";-;-;-;-;1;-;1;2
"130040 BARCELOS";1;4;-;4;1;-;-;10
"130050 BARREIRINHA";1;-;-;-;-;-;-;1
"130060 BENJAMIN CONSTANT";-;1;1;2;1;1;-;6
"130063 BERURI";-;-;5;7;2;-;-;14
"130068 BOA VISTA DO RAMOS";1;2;3;2;4;-;-;12
"130070 BOCA DO ACRE";3;5;1;-;-;-;-;9
"130080 BORBA";1;-;1;4;12;12;5;35
"130090 CANUTAMA";-;-;1;6;5;21;7;40
"130100 CARAUARI";1;10;42;111;86;5;-;255
"130110 CAREIRO";-;1;-;-;-;1;-;2
"130115 CAREIRO DA VARZEA";-;-;-;1;-;-;-;1
"130120 COARI";29;25;48;73;98;99;13;385
"130130 CODAJAS";3;3;2;1;-;1;-;10
"130140 EIRUNEPE";-;-;1;7;7;-;-;15
"130150 ENVIRA";4;8;18;21;31;21;3;106
"130160 FONTE BOA";-;-;-;-;2;-;-;2
"130165 GUAJARA";9;-;3;3;1;-;1;17
"130170 HUMAITA";3;2;4;6;5;6;-;26
"130180 IPIXUNA";6;2;6;3;4;9;4;34
"130185 IRANDUBA";2;7;11;4;7;1;3;35
"130190 ITACOATIARA";2;1;9;38;30;11;2;93
"130195 ITAMARATI";-;-;-;-;-;1;-;1
"130210 JAPURA";2;7;24;14;6;13;3;69
"130230 JUTAI";15;9;20;15;15;6;10;90
"130240 LABREA";76;71;114;73;64;35;6;439
"130250 MANACAPURU";1;5;5;12;25;87;16;151
"130255 MANAQUIRI";-;2;-;-;-;-;-;2
"130260 MANAUS";699;680;726;420;431;359;166;3481
"130270 MANICORE";1;-;1;1;2;2;4;11
"130280 MARAA";-;1;2;2;7;4;4;20
"130290 MAUES";48;40;12;2;2;-;-;104
"130310 NOVA OLINDA DO NORTE";-;-;1;-;-;-;-;1
"130320 NOVO AIRAO";2;6;29;36;40;19;-;132
"130330 NOVO ARIPUANA";-;1;1;2;6;11;1;22
"130340 PARINTINS";1;9;43;53;11;1;-;118
"130350 PAUINI";9;4;9;11;2;-;-;35
"130353 PRESIDENTE FIGUEIREDO";2;2;9;8;19;8;-;48
"130356 RIO PRETO DA EVA";4;8;25;16;3;-;-;56
"130360 SANTA ISABEL DO RIO NEGRO";-;1;-;-;-;-;1;2
"130370 SANTO ANTONIO DO ICA";-;3;7;12;16;6;1;45
"130390 SAO PAULO DE OLIVENCA";-;-;1;-;1;-;-;2
"130395 SAO SEBASTIAO DO UATUMA";1;1;3;6;1;-;-;12
"130400 SILVES";-;-;-;-;1;-;-;1
"130406 TABATINGA";1;1;3;-;14;12;6;37
"130410 TAPAUA";1;2;2;3;2;2;1;13
"130420 TEFE";29;26;31;38;49;70;51;294
"130423 TONANTINS";2;20;17;19;80;27;1;166
"130426 UARINI";-;-;-;1;-;-;-;1
"130430 URUCARA";-;-;-;1;8;5;-;14
"130440 URUCURITUBA";2;-;-;5;3;1;-;11
"140005 ALTO ALEGRE";-;-;-;-;1;-;-;1
"140010 BOA VISTA";2;4;2;12;35;39;13;107
"140015 BONFIM";-;1;-;-;1;-;-;2
"140017 CANTA";-;1;-;-;-;-;2;3
"140020 CARACARAI";1;2;2;4;3;1;-;13
"140030 MUCAJAI";-;-;-;-;-;-;1;1
"140040 NORMANDIA";-;-;-;2;1;-;-;3
"140045 PACARAIMA";-;1;3;3;1;3;2;13
"140047 RORAINOPOLIS";-;-;1;1;4;5;-;11
"140050 SAO JOAO DA BALIZA";-;-;-;1;-;-;-;1
"150010 ABAETETUBA";1;1;3;4;6;8;3;26
"150020 ACARA";-;-;-;-;1;1;-;2
"150030 AFUA";1;2;2;-;3;1;-;9
"150040 ALENQUER";-;-;1;4;8;-;-;13
"150050 ALMEIRIM";-;-;1;-;2;-;-;3
"150060 ALTAMIRA";2;1;6;10;23;34;15;91
"150070 ANAJAS";2;4;6;5;5;2;-;24
"150080 ANANINDEUA";3;4;7;8;8;-;-;30
"150085 ANAPU";2;-;30;25;20;5;-;82
"150110 BAGRE";-;-;-;3;-;-;-;3
"150125 BANNACH";-;-;-;-;1;-;-;1
"150130 BARCARENA";-;-;2;4;3;1;-;10
"150140 BELEM";24;34;47;66;53;27;6;257
"150145 BELTERRA";-;1;2;-;3;2;-;8
"150150 BENEVIDES";5;8;12;16;7;6;1;55
"150170 BRAGANCA";1;-;-;-;5;5;2;13
"150172 BRASIL NOVO";1;3;-;1;3;2;1;11
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;-;-;1;-;1
"150180 BREVES";-;-;-;-;3;4;-;7
"150190 BUJARU";-;-;-;-;-;1;-;1
"150195 CACHOEIRA DO PIRIA";-;-;-;-;-;1;-;1
"150210 CAMETA";14;13;19;39;43;3;-;131
"150215 CANAA DOS CARAJAS";6;13;19;23;14;17;3;95
"150220 CAPANEMA";-;-;1;3;1;1;-;6
"150230 CAPITAO POCO";1;4;4;1;-;-;-;10
"150240 CASTANHAL";12;10;12;15;16;2;1;68
"150260 COLARES";-;-;-;3;3;-;-;6
"150270 CONCEICAO DO ARAGUAIA";8;5;3;2;14;11;-;43
"150276 CUMARU DO NORTE";-;-;-;1;2;10;-;13
"150285 CURUA";1;-;-;-;-;3;-;4
"150290 CURUCA";-;1;4;1;-;1;-;7
"150293 DOM ELISEU";-;2;-;1;-;-;-;3
"150300 FARO";-;-;-;-;5;1;-;6
"150304 FLORESTA DO ARAGUAIA";-;-;-;-;1;-;-;1
"150309 GOIANESIA DO PARA";-;2;-;2;-;1;-;5
"150320 IGARAPE-ACU";9;6;8;16;27;10;5;81
"150330 IGARAPE-MIRI";2;3;2;6;6;3;-;22
"150345 IPIXUNA DO PARA";-;4;6;9;6;3;4;32
"150360 ITAITUBA";8;6;9;6;3;-;-;32
"150380 JACUNDA";-;2;-;2;1;1;-;6
"150390 JURUTI";-;-;-;7;2;-;-;9
"150400 LIMOEIRO DO AJURU";-;-;-;-;2;-;-;2
"150405 MAE DO RIO";-;-;-;1;-;1;-;2
"150420 MARABA";1;-;-;1;-;-;-;2
"150440 MARAPANIM";1;-;-;-;-;-;-;1
"150442 MARITUBA";4;6;8;5;6;13;-;42
"150445 MEDICILANDIA";-;1;6;3;10;2;-;22
"150470 MOJU";-;-;1;1;-;-;-;2
"150475 MOJUI DOS CAMPOS";-;-;-;-;-;4;2;6
"150480 MONTE ALEGRE";48;61;62;79;65;3;1;319
"150490 MUANA";-;-;-;1;-;-;-;1
"150503 NOVO PROGRESSO";2;11;17;1;1;-;-;32
"150506 NOVO REPARTIMENTO";-;-;1;3;1;-;-;5
"150510 OBIDOS";-;-;-;-;2;1;-;3
"150520 OEIRAS DO PARA";-;2;1;-;4;-;-;7
"150530 ORIXIMINA";-;1;-;-;-;2;2;5
"150543 OURILANDIA DO NORTE";-;-;1;-;-;-;-;1
"150548 PACAJA";-;3;1;-;1;-;-;5
"150549 PALESTINA DO PARA";-;-;-;1;-;-;-;1
"150550 PARAGOMINAS";1;-;4;-;-;-;-;5
"150553 PARAUAPEBAS";17;6;10;21;26;8;3;91
"150555 PAU D'ARCO";-;-;-;-;-;1;-;1
"150570 PONTA DE PEDRAS";-;-;1;1;-;2;-;4
"150600 PRAINHA";1;2;2;3;8;9;11;36
"150613 REDENCAO";1;-;2;3;10;9;-;25
"150618 RONDON DO PARA";-;1;-;3;2;10;-;16
"150620 SALINOPOLIS";1;-;-;-;-;-;-;1
"150630 SALVATERRA";-;-;-;-;1;1;-;2
"150650 SANTA IZABEL DO PARA";2;9;5;8;8;9;-;41
"150655 SANTA LUZIA DO PARA";-;-;-;2;2;1;-;5
"150660 SANTA MARIA DO PARA";-;-;1;1;1;2;-;5
"150670 SANTANA DO ARAGUAIA";1;3;10;6;4;4;1;29
"150680 SANTAREM";-;-;2;-;1;-;-;3
"150700 SANTO ANTONIO DO TAUA";-;1;-;-;-;-;-;1
"150710 SAO CAETANO DE ODIVELAS";-;1;-;-;-;-;-;1
"150720 SAO DOMINGOS DO CAPIM";1;5;11;22;12;1;-;52
"150730 SAO FELIX DO XINGU";-;-;-;-;4;-;1;5
"150745 SAO GERALDO DO ARAGUAIA";-;-;-;1;-;-;-;1
"150747 SAO JOAO DE PIRABAS";4;-;-;-;-;-;-;4
"150750 SAO JOAO DO ARAGUAIA";6;4;4;2;3;2;-;21
"150760 SAO MIGUEL DO GUAMA";-;-;-;-;-;-;1;1
"150775 SAPUCAIA";-;-;-;-;2;1;-;3
"150780 SENADOR JOSE PORFIRIO";-;4;1;2;1;5;2;15
"150795 TAILANDIA";-;-;-;-;2;-;-;2
"150796 TERRA ALTA";-;-;-;1;2;2;-;5
"150797 TERRA SANTA";-;-;1;1;-;-;1;3
"150800 TOME-ACU";1;3;1;3;5;-;-;13
"150808 TUCUMA";-;-;-;-;3;6;-;9
"150815 URUARA";-;-;5;4;10;2;-;21
"150820 VIGIA";1;1;-;1;-;-;-;3
"150830 VISEU";-;-;-;1;-;-;-;1
"150835 VITORIA DO XINGU";4;13;13;1;2;-;-;33
"150840 XINGUARA";-;1;-;-;-;-;-;1
"160005 SERRA DO NAVIO";7;3;13;14;5;6;-;48
"160010 AMAPA";-;1;-;-;-;-;-;1
"160020 CALCOENE";2;12;8;37;60;20;7;146
"160027 LARANJAL DO JARI";14;13;84;42;11;1;-;165
"160030 MACAPA";22;30;35;35;46;15;1;184
"160040 MAZAGAO";-;-;1;-;-;-;-;1
"160050 OIAPOQUE";72;108;100;36;44;8;-;368
"160053 PORTO GRANDE";-;3;7;-;-;-;-;10
"160060 SANTANA";1;2;8;9;-;-;-;20
"160070 TARTARUGALZINHO";5;23;17;38;54;21;-;158
"170025 ABREULANDIA";-;-;-;-;-;1;-;1
"170030 AGUIARNOPOLIS";-;1;1;2;3;2;-;9
"170035 ALIANCA DO TOCANTINS";-;-;3;2;6;-;2;13
"170040 ALMAS";-;-;-;-;-;1;-;1
"170100 ANANAS";-;1;2;1;1;2;-;7
"170110 APARECIDA DO RIO NEGRO";1;-;-;-;-;-;-;1
"170130 ARAGOMINAS";-;-;-;-;1;-;2;3
"170190 ARAGUACEMA";1;-;1;1;2;-;1;6
"170200 ARAGUACU";-;-;-;-;-;1;-;1
"170210 ARAGUAINA";4;8;7;10;22;49;34;134
"170220 ARAGUATINS";-;-;-;-;-;1;-;1
"170230 ARAPOEMA";-;-;2;2;1;-;1;6
"170240 ARRAIAS";3;-;1;5;14;5;1;29
"170255 AUGUSTINOPOLIS";-;-;-;2;1;-;-;3
"170270 AURORA DO TOCANTINS";-;-;-;-;1;1;-;2
"170300 BABACULANDIA";2;1;-;2;-;-;-;5
"170310 BARROLANDIA";1;1;-;-;2;-;2;6
"170330 BOM JESUS DO TOCANTINS";-;-;1;-;-;-;-;1
"170360 BRASILANDIA DO TOCANTINS";-;-;1;-;-;-;-;1
"170370 BREJINHO DE NAZARE";-;-;2;1;6;-;-;9
"170380 BURITI DO TOCANTINS";-;-;-;1;-;-;-;1
"170388 CARMOLANDIA";-;1;-;1;2;-;-;4
"170410 CENTENARIO";-;-;-;-;-;1;1;2
"170460 CHAPADA DE AREIA";1;-;-;-;-;-;1;2
"170510 CHAPADA DA NATIVIDADE";-;-;-;-;-;1;-;1
"170550 COLINAS DO TOCANTINS";9;8;13;17;31;40;21;139
"170555 COMBINADO";-;-;-;1;2;2;-;5
"170560 CONCEICAO DO TOCANTINS";-;-;-;-;1;-;-;1
"170600 COUTO MAGALHAES";-;-;-;-;-;1;-;1
"170610 CRISTALANDIA";1;-;-;-;-;-;-;1
"170700 DIANOPOLIS";5;16;7;13;4;26;11;82
"170710 DIVINOPOLIS DO TOCANTINS";-;2;1;1;-;2;-;6
"170720 DOIS IRMAOS DO TOCANTINS";-;-;-;-;1;-;-;1
"170730 DUERE";-;1;2;-;2;3;3;11
"170740 ESPERANTINA";-;1;1;-;1;1;-;4
"170770 FILADELFIA";1;-;-;-;2;1;-;4
"170820 FORMOSO DO ARAGUAIA";1;7;4;5;8;9;-;34
"170825 FORTALEZA DO TABOCAO";-;-;1;-;-;-;-;1
"170900 GOIATINS";-;-;-;-;1;1;-;2
"170930 GUARAI";-;1;2;3;12;6;3;27
"170950 GURUPI";5;6;6;5;17;15;5;59
"171050 ITACAJA";2;-;-;-;-;1;1;4
"171070 ITAGUATINS";-;-;-;-;1;-;-;1
"171110 ITAPORA DO TOCANTINS";1;-;2;1;1;-;-;5
"171150 JAU DO TOCANTINS";-;-;-;-;4;-;-;4
"171180 JUARINA";-;-;-;-;-;1;-;1
"171190 LAGOA DA CONFUSAO";-;2;2;1;2;2;-;9
"171195 LAGOA DO TOCANTINS";-;1;-;-;1;-;-;2
"171200 LAJEADO";1;-;-;-;-;-;-;1
"171215 LAVANDEIRA";-;-;-;1;-;2;-;3
"171250 MARIANOPOLIS DO TOCANTINS";1;-;-;-;1;-;-;2
"171270 MATEIROS";-;-;-;-;-;2;-;2
"171280 MAURILANDIA DO TOCANTINS";1;-;2;-;-;-;-;3
"171320 MIRACEMA DO TOCANTINS";1;2;1;1;1;1;3;10
"171330 MIRANORTE";2;1;-;-;-;-;-;3
"171370 MONTE SANTO DO TOCANTINS";-;-;-;-;-;-;1;1
"171395 MURICILANDIA";-;-;1;-;-;-;-;1
"171420 NATIVIDADE";-;1;3;-;-;2;1;7
"171430 NAZARE";-;-;1;-;1;-;-;2
"171488 NOVA OLINDA";2;2;5;3;3;2;1;18
"171500 NOVA ROSALANDIA";-;-;-;1;3;-;1;5
"171515 NOVO ALEGRE";-;-;-;-;2;-;-;2
"171525 NOVO JARDIM";-;-;1;4;1;-;-;6
"171575 PALMEIROPOLIS";-;1;-;-;3;3;1;8
"171610 PARAISO DO TOCANTINS";-;-;-;-;14;22;36;72
"171620 PARANA";-;-;-;-;1;2;-;3
"171630 PAU D'ARCO";-;-;-;1;-;-;-;1
"171650 PEDRO AFONSO";-;-;-;-;2;-;-;2
"171660 PEIXE";1;1;1;11;6;9;2;31
"171670 COLMEIA";1;-;-;-;1;-;-;2
"171700 PINDORAMA DO TOCANTINS";-;-;-;-;-;2;1;3
"171720 PIRAQUE";1;-;-;-;-;-;-;1
"171750 PIUM";1;-;-;-;-;1;1;3
"171790 PONTE ALTA DO TOCANTINS";-;-;2;1;2;3;4;12
"171800 PORTO ALEGRE DO TOCANTINS";-;-;-;1;-;1;-;2
"171820 PORTO NACIONAL";16;10;14;15;11;5;4;75
"171845 PUGMIL";-;2;1;1;1;4;3;12
"171850 RECURSOLANDIA";1;-;-;-;-;-;-;1
"171855 RIACHINHO";-;2;-;-;-;-;-;2
"171865 RIO DA CONCEICAO";-;1;1;5;-;2;1;10
"171870 RIO DOS BOIS";-;-;-;-;1;-;-;1
"171880 SAMPAIO";-;4;-;1;-;1;-;6
"171886 SANTA FE DO ARAGUAIA";-;-;1;1;-;-;-;2
"171889 SANTA RITA DO TOCANTINS";-;-;-;-;1;-;-;1
"171890 SANTA ROSA DO TOCANTINS";1;-;-;-;-;-;-;1
"171900 SANTA TEREZA DO TOCANTINS";-;1;1;-;-;1;1;4
"172020 SAO MIGUEL DO TOCANTINS";-;-;1;1;1;2;-;5
"172025 SAO SALVADOR DO TOCANTINS";1;-;2;-;-;2;1;6
"172030 SAO SEBASTIAO DO TOCANTINS";1;-;1;1;2;-;-;5
"172049 SAO VALERIO";-;-;-;-;-;1;-;1
"172065 SILVANOPOLIS";-;-;-;1;7;5;2;15
"172080 SITIO NOVO DO TOCANTINS";-;1;-;-;-;-;-;1
"172085 SUCUPIRA";-;-;-;-;-;1;-;1
"172090 TAGUATINGA";1;1;3;1;3;8;-;17
"172093 TAIPAS DO TOCANTINS";-;-;1;-;-;-;-;1
"172097 TALISMA";-;1;-;-;-;-;-;1
"172100 PALMAS";4;5;13;7;48;99;223;399
"172110 TOCANTINIA";-;1;-;-;-;1;1;3
"172120 TOCANTINOPOLIS";4;-;4;2;1;11;-;22
"172130 TUPIRATINS";-;-;-;-;-;-;1;1
"172210 XAMBIOA";-;-;-;-;1;1;-;2
"210005 ACAILANDIA";-;-;1;3;5;9;1;19
"210047 ALTO ALEGRE DO PINDARE";1;1;-;-;-;-;-;2
"210050 ALTO PARNAIBA";-;-;-;-;-;2;1;3
"210060 AMARANTE DO MARANHAO";1;-;-;-;-;-;-;1
"210095 ARAME";-;-;-;1;-;2;2;5
"210100 ARARI";-;-;1;1;1;-;-;3
"210110 AXIXA";-;-;1;1;-;-;-;2
"210120 BACABAL";-;-;1;1;-;1;2;5
"210125 BACABEIRA";-;-;-;1;-;-;-;1
"210140 BALSAS";3;-;1;-;-;-;-;4
"210150 BARAO DE GRAJAU";-;-;-;-;-;1;-;1
"210160 BARRA DO CORDA";-;-;-;1;2;-;-;3
"210170 BARREIRINHAS";1;-;-;-;-;-;-;1
"210177 BELA VISTA DO MARANHAO";-;-;-;1;1;1;-;3
"210180 BENEDITO LEITE";-;-;-;-;2;1;5;8
"210215 BREJO DE AREIA";-;-;-;-;-;1;-;1
"210220 BURITI";1;-;-;-;-;-;-;1
"210232 BURITICUPU";1;1;-;1;-;-;-;3
"210280 CAROLINA";-;-;-;-;-;1;-;1
"210290 CARUTAPERA";-;-;-;2;5;-;1;8
"210300 CAXIAS";-;-;1;-;-;4;-;5
"210312 CENTRAL DO MARANHAO";-;-;-;-;-;1;-;1
"210360 COROATA";1;-;1;1;-;-;-;3
"210405 ESTREITO";-;-;2;-;-;2;-;4
"210407 FEIRA NOVA DO MARANHAO";-;-;1;1;-;-;-;2
"210408 FERNANDO FALCAO";-;-;-;1;-;-;-;1
"210409 FORMOSA DA SERRA NEGRA";1;-;-;-;1;-;-;2
"210410 FORTALEZA DOS NOGUEIRAS";-;-;-;-;-;1;-;1
"210465 GOVERNADOR NEWTON BELLO";-;-;-;1;-;2;1;4
"210467 GOVERNADOR NUNES FREIRE";-;-;2;-;-;-;-;2
"210480 GRAJAU";-;1;-;-;-;-;-;1
"210515 IGARAPE DO MEIO";-;-;1;-;-;1;-;2
"210530 IMPERATRIZ";1;-;1;3;-;3;-;8
"210540 ITAPECURU MIRIM";-;1;-;-;-;1;-;2
"210570 LAGO DA PEDRA";-;1;-;-;-;1;-;2
"210592 LAGOA DO MATO";-;-;-;-;1;-;1;2
"210598 LAJEADO NOVO";2;-;-;1;-;2;-;5
"210610 LORETO";-;-;-;-;1;2;1;4
"210632 MARACACUME";-;-;-;-;1;-;-;1
"210660 MATOES";-;-;-;-;2;1;2;5
"210690 MONCAO";-;1;2;2;4;3;1;13
"210700 MONTES ALTOS";-;-;1;-;1;1;-;3
"210725 NOVA COLINAS";-;1;-;-;-;-;-;1
"210750 PACO DO LUMIAR";-;1;-;1;2;1;-;5
"210780 PARNARAMA";1;1;-;-;-;-;-;2
"210820 PEDREIRAS";-;-;-;-;1;-;-;1
"210845 PERITORO";-;-;1;-;-;-;-;1
"210850 PINDARE-MIRIM";-;-;-;1;1;-;-;2
"210860 PINHEIRO";3;-;1;2;-;-;-;6
"210870 PIO XII";-;1;3;5;3;-;-;12
"210880 PIRAPEMAS";-;-;1;-;-;-;-;1
"210900 PORTO FRANCO";-;1;-;1;-;-;-;2
"210923 PRESIDENTE MEDICI";-;-;-;-;1;-;-;1
"210930 PRESIDENTE VARGAS";-;-;-;-;1;-;-;1
"210955 RIBAMAR FIQUENE";1;-;-;-;-;-;-;1
"210960 ROSARIO";-;-;-;1;-;-;-;1
"210980 SANTA HELENA";-;-;-;-;2;-;-;2
"210990 SANTA INES";-;1;2;2;4;-;-;9
"211000 SANTA LUZIA";1;-;-;-;2;-;-;3
"211010 SANTA QUITERIA DO MARANHAO";-;-;-;-;1;-;-;1
"211020 SANTA RITA";-;-;-;-;2;-;-;2
"211085 SAO FRANCISCO DO BREJAO";1;-;2;2;-;1;-;6
"211090 SAO FRANCISCO DO MARANHAO";-;-;-;-;1;-;-;1
"211102 SAO JOAO DO CARU";-;1;-;-;-;-;-;1
"211105 SAO JOAO DO PARAISO";-;-;-;-;-;1;-;1
"211110 SAO JOAO DOS PATOS";-;1;-;1;3;9;7;21
"211120 SAO JOSE DE RIBAMAR";-;-;1;1;2;-;-;4
"211130 SAO LUIS";3;10;5;7;15;5;1;46
"211150 SAO MATEUS DO MARANHAO";-;-;1;-;-;-;-;1
"211157 SAO PEDRO DOS CRENTES";5;5;8;18;14;16;7;73
"211172 SATUBINHA";1;1;-;-;-;-;-;2
"211180 SITIO NOVO";2;5;1;4;1;3;2;18
"211200 TASSO FRAGOSO";-;-;1;3;2;1;-;7
"211210 TIMBIRAS";1;-;-;-;-;-;-;1
"211220 TIMON";1;9;6;-;-;1;-;17
"211250 TUTOIA";-;-;-;-;3;14;-;17
"211260 URBANO SANTOS";-;-;1;-;-;-;-;1
"211280 VIANA";-;-;1;1;-;1;-;3
"211290 VITORIA DO MEARIM";-;-;-;-;1;-;-;1
"220005 ACAUA";-;-;-;-;-;1;-;1
"220020 AGUA BRANCA";-;1;-;-;-;-;-;1
"220045 ALVORADA DO GURGUEIA";1;-;-;-;-;-;-;1
"220110 AVELINO LOPES";-;-;-;-;-;1;-;1
"220115 BAIXA GRANDE DO RIBEIRO";1;1;1;1;6;7;-;17
"220120 BARRAS";-;-;1;-;-;-;-;1
"220130 BARREIRAS DO PIAUI";-;-;-;-;-;1;-;1
"220160 BENEDITINOS";1;-;1;-;-;-;-;2
"220190 BOM JESUS";4;15;27;16;31;33;3;129
"220208 CAJUEIRO DA PRAIA";-;-;-;-;1;-;-;1
"220213 CAMPO GRANDE DO PIAUI";-;-;1;1;-;2;-;4
"220230 CANTO DO BURITI";-;-;1;1;2;-;-;4
"220240 CAPITAO DE CAMPOS";-;-;1;2;-;1;-;4
"220265 CAXINGO";-;-;-;-;1;-;-;1
"220270 COCAL";-;-;-;-;-;1;-;1
"220275 COLONIA DO GURGUEIA";-;-;-;1;-;-;-;1
"220290 CORRENTE";-;-;1;-;-;-;-;1
"220300 CRISTALANDIA DO PIAUI";-;-;1;-;1;-;-;2
"220310 CRISTINO CASTRO";-;-;1;-;1;-;-;2
"220320 CURIMATA";-;-;-;-;4;-;-;4
"220323 CURRAIS";10;35;16;9;14;11;7;102
"220345 DOM INOCENCIO";-;-;-;1;-;1;-;2
"220370 ESPERANTINA";-;-;-;-;1;-;-;1
"220390 FLORIANO";1;-;-;4;1;2;-;8
"220435 GEMINIANO";-;-;-;-;-;1;-;1
"220450 GUADALUPE";-;1;-;-;3;18;6;28
"220465 ILHA GRANDE";-;-;1;-;-;-;-;1
"220527 JATOBA DO PIAUI";-;-;-;1;-;-;-;1
"220530 JERUMENHA";-;-;-;-;2;-;-;2
"220550 JOSE DE FREITAS";1;-;-;-;1;1;-;3
"220552 JULIO BORGES";2;-;-;1;1;-;-;4
"220555 LAGOA ALEGRE";-;-;-;-;-;1;-;1
"220590 MANOEL EMIDIO";-;-;-;-;1;-;-;1
"220600 MARCOS PARENTE";2;-;-;-;-;-;-;2
"220620 MIGUEL ALVES";-;-;-;-;-;1;-;1
"220635 MILTON BRANDAO";-;-;-;-;2;-;1;3
"220640 MONSENHOR GIL";-;-;-;1;-;-;-;1
"220660 MONTE ALEGRE DO PIAUI";-;-;-;1;-;-;-;1
"220672 NAZARIA";2;-;-;-;-;-;-;2
"220690 NOVO ORIENTE DO PIAUI";-;-;-;-;-;-;1;1
"220700 OEIRAS";-;2;-;-;-;-;-;2
"220740 PALMEIRA DO PIAUI";-;1;-;-;1;-;-;2
"220770 PARNAIBA";3;3;7;6;5;6;-;30
"220800 PICOS";-;-;-;-;2;1;-;3
"220810 PIMENTEIRAS";-;-;-;-;-;1;-;1
"220840 PIRIPIRI";-;1;-;-;-;-;-;1
"220850 PORTO";-;-;-;-;1;-;-;1
